Temperature 1 (K),Temperature 2 (K),Temperature 3 (K),Uncertainty (K),Time (s)
325.9,336.9,342.65,2.25,597
326.15,337.4,342.4,2.25,598
326.15,337.4,342.9,2.25,599
325.9,337.15,342.9,2.25,600
325.9,336.9,342.9,2.25,601
326.15,337.15,342.65,2.25,602
326.15,337.15,342.65,2.25,603
326.15,336.65,342.65,2.25,604
326.15,337.4,342.4,2.25,605
325.9,336.9,341.9,2.25,606
325.65,336.65,342.4,2.25,607
326.15,336.9,342.65,2.25,608
325.65,336.9,342.65,2.25,609
327.15,337.15,341.9,2.25,610
327.15,337.65,342.4,2.25,611
326.9,336.9,342.65,2.25,612
327.15,337.15,342.65,2.25,613
327.15,336.9,342.4,2.25,614
326.9,337.15,342.65,2.25,615
326.9,336.9,342.4,2.25,616
326.65,336.9,342.15,2.25,617
326.4,336.9,342.15,2.25,618
327.15,337.15,341.9,2.25,619
326.9,337.15,342.4,2.25,620
326.9,337.15,342.4,2.25,621
326.9,336.9,341.65,2.25,622
326.9,337.15,342.65,2.25,623
325.4,336.15,342.15,2.25,624
325.65,336.65,341.65,2.25,625
325.4,336.65,341.9,2.25,626
326.4,336.9,342.15,2.25,627
325.4,336.4,342.15,2.25,628
325.65,336.4,342.15,2.25,629
326.4,336.4,342.15,2.25,630
326.9,336.9,342.15,2.25,631
326.65,336.9,342.4,2.25,632
325.4,336.4,342.15,2.25,633
325.15,336.65,341.9,2.25,634
324.9,336.4,342.15,2.25,635
325.15,335.65,342.4,2.25,636
325.4,336.15,342.15,2.25,637
325.15,336.15,342.15,2.25,638
325.15,335.9,341.65,2.25,639
324.9,335.9,342.15,2.25,640
325.15,336.15,341.9,2.25,641
325.15,336.15,341.9,2.25,642
324.65,336.15,341.9,2.25,643
324.65,336.15,341.4,2.25,644
324.9,336.15,341.9,2.25,645
325.15,335.9,341.9,2.25,646
324.65,335.9,341.4,2.25,647
324.9,336.15,341.9,2.25,648
324.9,335.65,341.65,2.25,649
324.9,335.9,342.15,2.25,650
324.65,335.9,341.15,2.25,651
325.15,335.15,341.65,2.25,652
324.65,335.65,341.9,2.25,653
324.9,335.65,341.65,2.25,654
324.9,336.15,341.65,2.25,655
325.65,335.9,341.9,2.25,656
325.9,335.65,341.4,2.25,657
324.4,335.15,341.65,2.25,658
324.9,335.65,341.4,2.25,659
324.9,335.4,341.9,2.25,660
324.65,335.65,341.4,2.25,661
324.4,335.4,341.4,2.25,662
324.9,335.65,341.15,2.25,663
325.4,335.9,341.4,2.25,664
325.4,335.65,341.4,2.25,665
324.65,335.65,341.65,2.25,666
324.9,335.4,341.4,2.25,667
324.65,335.4,341.4,2.25,668
324.4,335.15,341.15,2.25,669
324.15,334.9,341.15,2.25,670
324.65,335.4,340.9,2.25,671
324.65,335.15,341.15,2.25,672
324.9,335.4,341.4,2.25,673
324.4,335.4,341.4,2.25,674
325.15,335.4,341.15,2.25,675
324.15,335.15,341.15,2.25,676
324.4,335.4,340.9,2.25,677
324.4,334.65,340.9,2.25,678
324.4,334.65,341.15,2.25,679
324.4,335.4,340.9,2.25,680
323.65,335.15,340.9,2.25,681
323.9,334.9,341.4,2.25,682
323.9,335.15,341.4,2.25,683
323.9,335.15,341.15,2.25,684
324.4,335.15,340.9,2.25,685
324.15,334.65,340.9,2.25,686
